CODEILE;BAGUEUR;LIEUDIT;BG;SG;ESPECE;ACTION;CONDREPR;CIRCREPR;BAGUE;DATE;HEURE;SEXE;AGE;COLONIE;SECTEUR;TERRIER;BP;EB;LT;MA;NATURE;RMQTERRIER;PERIODEJN;THEME;CENTRE;PAYS;DEPT;LOCALITE;STADE;LP;MEMO;PRIMAIRE;SECONDAIRE;RECTRICE;COUV;COUD;RG;PL;PR;ASG;CHAMP1;CHAMP2;CHAMP3;CHAMP4;MESURE1;MESURE2;MESURE3;MESURE4
FSRU010;"MANTE, Alain";"GRAND CONGLOUE";"MANTE, Alain";"PASTORELLI, Clia";CALDIO;B;;0;EC100201;04-10-2012;;?;PUL;;;;;;;730;Naturel;;;;;;;;;48.6;;;;;;;;;;;;;;;10;;;
FSRU010;"MANTE, Alain";"GRAND CONGLOUE";"MANTE, Alain";"PASTORELLI, Clia";CALDIO;B;;0;EC100202;04-10-2012;;?;PUL;;;;;;;720;Naturel;;;;;;;;;49.8;;;;;;;;;;;;;;;10;;;
FSRU010;"MANTE, Alain";"GRAND CONGLOUE";"MANTE, Alain";"PASTORELLI, Clia";CALDIO;B;;0;EC100203;04-10-2012;;?;PUL;;;;;;;900;Naturel;;;;;;;;;49.9;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100165;13-08-2012;;F;VOL;;;;;;;530;Naturel;;;;;;;;;48.9;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100161;13-08-2012;;F;VOL;;;;;;;550;Naturel;;;;;;;;;47.3;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100162;13-08-2012;;M;VOL;;;;;;;630;Naturel;;;;;;;;;53.7;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100163;13-08-2012;;"F ?";VOL;;;;;;;550;Naturel;;;;;;;;;48.9;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100167;13-08-2012;;M;VOL;;;;;;;620;Naturel;;;;;;;;;51.6;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100166;13-08-2012;;?;VOL;;;;;;;510;Naturel;;;;;;;;;47.4;;;;;;;;;;;;;;;10;;;
FSRU003;"MANTE, Alain";JARRE;"DURAND, Jean-Patrick";"PASTORELLI, Clia";CALDIO;B;;0;EC100168;20-08-2012;;M;VOL;;;;;;;590;Naturel;;;;;;;;;51.6;;;;;;;;;;;;;;;10;;;
